Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_48,1,516.0,144.3,15.9,1.0,5,117,950,221,0.6,214.5,12.0,5,1.528
,2,516.0,174.2,15.7,4.0,4,113,1000,232,3.7,224.5,19.0,5,1.618
,3,516.0,387.6,15.4,0.0,6,110,1050,240,15.2,236.3,32.0,5,1.709
,4,516.0,492.8,16.0,0.0,6,115,1130,233,22.7,254.4,40.0,7,1.718
,5,516.0,462.4,15.3,0.0,4,113,1200,229,27.5,263.5,43.0,7,1.73
,6,516.0,268.4,15.4,0.0,6,114,1150,219,33.5,276.1,47.0,8,1.762
,7,516.0,575.0,15.8,0.0,6,110,1250,238,89.5,282.4,55.0,8,1.823
,8,516.0,442.9,16.5,0.0,5,117,1250,238,161.5,289.9,63.0,9,1.942
,9,516.0,374.4,16.1,0.0,5,118,950,180,288.6,294.2,67.0,10,2.216
,10,516.0,745.7,14.1,0.0,5,114,1175,240,447.5,299.1,111.0,10,2.328
