Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_80,1,318.0,2210.6,20.8,0.0,47,100,3648,248,0.0,0.0,0.0,1,1.422
,2,318.0,2620.7,21.4,0.0,44,97,3586,235,0.0,0.0,0.0,1,1.455
,3,318.0,1920.6,20.9,0.0,40,97,3798,223,0.0,0.0,0.0,1,1.484
,4,318.0,2227.5,21.1,0.0,39,98,4010,210,0.0,0.0,0.0,1,1.506
,5,318.0,1516.1,21.5,0.0,39,97,4161,266,0.0,0.0,0.0,1,1.517
,6,318.0,2139.2,21.8,0.0,38,98,4312,320,0.0,0.0,0.0,1,1.529
,7,318.0,1958.8,21.6,0.0,37,99,4463,375,0.0,0.0,0.0,1,1.534
,8,318.0,1464.5,20.6,0.0,34,97,4895,285,0.0,0.0,0.0,1,1.552
,9,318.0,1519.5,20.4,0.0,43,97,5276,504,1.0,1.0,1.0,1,1.563
,10,318.0,1539.3,20.9,0.0,44,96,5454,608,1.0,2.0,2.0,1,1.573
