Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_13,1,469.9,446.5,15.4,1.4,5,109,5600,2200,0.0,0.0,0.0,0,0.753
,2,469.9,177.5,16.8,0.0,3,106,6412,1596,0.0,0.0,0.0,2,0.78
,3,469.9,175.7,17.3,0.0,2,108,6783,1689,0.0,0.0,0.0,2,0.795
,4,469.9,313.3,17.2,0.0,3,110,7175,1787,0.0,0.0,0.0,3,0.821
,5,469.9,87.4,17.2,0.0,3,105,7567,1885,0.0,32.1,0.0,3,0.834
,6,469.9,298.4,17.4,1.0,3,110,5029,3042,0.0,63.9,0.0,4,0.863
,7,469.9,431.0,16.7,0.0,3,108,5043,2660,0.0,109.1,2.0,4,0.911
,8,469.9,533.0,16.5,0.0,4,108,4642,2299,0.0,132.1,2.0,4,0.952
,9,469.9,196.5,16.9,2.0,3,115,5054,2729,0.0,210.5,9.0,5,1.183
,10,469.9,306.2,17.0,7.0,2,112,5883,2847,0.0,271.8,10.0,5,1.296
