Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_73,1,511.0,1620.8,13.6,60.0,25,117,1695,217,0.0,0.0,0.0,10,0.763
,2,511.0,1158.0,15.3,6.0,18,108,2487,229,0.0,0.0,0.0,11,0.783
,3,511.0,1318.5,14.6,15.6,22,117,2748,258,0.0,0.0,0.0,11,0.868
,4,511.0,1893.1,13.7,12.0,26,109,2992,287,0.0,0.0,1.0,12,0.879
,5,511.0,1267.4,14.3,35.0,13,115,2666,261,0.0,0.0,1.0,12,0.883
,6,511.0,1933.7,14.0,53.4,25,114,3072,307,0.0,9.9,2.0,12,0.99
,7,511.0,1554.6,14.3,48.9,19,112,3816,389,0.0,12.7,7.0,13,1.11
,8,511.0,1424.2,13.7,90.0,20,115,4176,434,0.0,20.7,10.0,14,1.262
,9,511.0,1310.4,14.1,30.8,17,115,5040,534,0.0,25.4,47.0,14,1.345
,10,511.0,1314.1,15.7,3.8,13,110,5238,269,0.0,29.6,97.0,17,1.481
