Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_49,1,516.0,253.5,15.2,0.0,4,121,1200,265,290.5,0.0,117.0,6,2.224
,2,516.0,402.9,15.6,0.0,5,118,1200,265,299.5,0.0,117.0,8,2.329
,3,516.0,514.2,15.9,0.0,6,116,1200,265,305.0,0.0,130.0,10,2.334
,4,516.0,272.3,15.8,0.0,5,114,1300,286,319.2,152.4,142.0,10,2.352
,5,516.0,305.7,16.1,0.0,6,115,1250,275,323.5,177.5,142.0,11,2.381
,6,516.0,393.9,15.9,0.0,6,117,1450,319,342.8,193.6,157.0,12,2.407
,7,516.0,447.3,15.6,0.0,6,110,1450,319,353.7,222.5,164.0,13,2.419
,8,516.0,480.4,15.6,0.0,5,116,1500,330,460.7,267.8,180.0,13,2.445
,9,516.0,204.8,15.9,0.0,6,117,1500,330,487.7,285.0,191.0,14,2.49
,10,516.0,340.5,15.6,0.0,6,117,1550,335,498.4,295.6,201.0,14,2.555
