Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_52,1,485.0,896.5,15.2,10.0,4,104,3000,210,0.0,25.6,22.0,6,1.719
,2,485.0,1004.3,15.5,0.0,5,104,2500,175,0.0,163.5,38.0,7,1.747
,3,485.0,1449.4,15.9,0.0,4,105,1800,145,0.0,165.3,41.0,7,1.803
,4,485.0,1564.6,14.4,7.0,3,103,1550,110,2.5,172.5,44.0,8,1.823
,5,485.0,904.9,15.0,0.3,3,105,1200,95,5.3,178.5,48.0,8,1.837
,6,485.0,2356.8,15.3,0.0,5,102,4500,315,8.2,186.2,53.0,8,1.853
,7,485.0,2236.8,15.7,0.0,4,108,4500,315,15.8,188.1,57.0,9,1.862
,8,485.0,1078.8,15.6,0.9,3,105,1550,109,19.9,191.5,58.0,9,1.882
,9,485.0,2081.4,13.8,2.9,6,104,5100,359,30.4,194.8,80.0,10,1.907
,10,485.0,1245.2,15.1,0.0,3,110,5100,181,35.6,199.8,91.0,10,2.066
