Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_8,1,505.6,242.5,21.8,0.0,3,108,6500,2650,0.0,0.0,0.0,0,0.491
,2,505.6,135.4,22.2,0.0,2,111,7000,3240,0.0,0.0,0.0,0,0.512
,3,505.6,54.8,22.7,0.0,2,111,8500,3500,0.0,0.0,0.0,3,0.534
,4,505.6,168.4,22.0,0.0,2,113,6000,2400,0.0,0.0,0.0,4,0.567
,5,505.6,218.8,20.9,0.0,4,113,6400,2500,0.0,0.0,0.0,55,0.649
,6,505.6,84.0,22.0,0.0,3,104,19437,7674,0.0,0.0,0.0,5,0.66
,7,505.6,75.9,22.4,0.0,2,107,22755,8472,0.0,0.0,0.0,5,0.684
,8,505.6,183.9,22.3,0.0,3,109,26640,9353,0.0,266.4,8.0,6,0.715
,9,505.6,55.1,22.2,0.0,2,103,30525,10234,0.0,301.0,11.0,6,0.734
,10,505.6,198.0,22.5,0.0,4,104,12159,7469,0.0,305.0,12.0,7,0.746
