Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_76,1,308.0,1127.1,17.6,1.7,21,118,286,56,0.0,0.0,0.0,1,0.881
,2,308.0,1224.0,17.8,19.0,22,120,311,61,0.0,0.0,0.0,1,0.905
,3,308.0,665.2,19.7,0.0,10,123,1215,25,0.0,0.0,0.0,2,0.918
,4,308.0,1443.9,18.4,0.1,14,118,1341,29,0.0,0.0,0.0,2,0.231
,5,308.0,1397.1,17.7,0.0,22,117,1154,25,0.0,0.0,0.0,2,0.432
,6,308.0,1155.6,18.1,0.0,14,113,1258,28,0.0,0.0,0.0,2,0.745
,7,308.0,1880.7,17.9,2.4,35,116,1295,136,0.0,0.0,0.0,3,0.923
,8,308.0,1179.3,18.4,1.5,24,116,1343,31,0.5,0.5,0.0,3,1.021
,9,308.0,1257.7,17.6,15.0,25,122,1389,144,0.5,0.6,2.0,3,1.04
,10,308.0,1336.4,18.2,2.4,15,116,1440,35,0.7,1.3,5.0,3,1.09
