Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_72,1,365.0,1370.0,15.9,39.0,23,118,1511,121,0.0,153.3,0.0,2,0.657
,2,365.0,789.9,17.8,1.0,13,117,2214,290,0.0,153.3,0.0,2,0.673
,3,365.0,1500.4,16.9,1.9,15,117,1544,207,0.0,256.0,0.0,3,0.724
,4,365.0,1380.8,16.1,3.0,14,111,2409,329,1.3,265.6,0.0,3,0.778
,5,365.0,1213.8,16.4,7.0,12,111,2623,365,15.5,298.5,2.0,3,0.782
,6,365.0,2142.9,16.2,17.9,25,111,2808,399,28.9,336.9,2.0,4,0.844
,7,365.0,1440.4,16.8,11.8,19,110,1890,423,88.8,456.7,7.0,4,0.882
,8,365.0,1239.3,16.2,32.0,18,120,2993,443,103.5,536.6,18.0,4,0.949
,9,365.0,1428.1,16.5,8.0,13,113,2970,448,124.9,570.5,34.0,7,0.973
,10,365.0,1587.0,17.8,0.1,16,120,3078,358,140.4,591.4,51.0,7,0.997
