Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_101,1,454.0,1446.2,13.6,69.3,23,119,2156,509,0.0,0.0,0.0,2,1.466
,2,454.0,1366.8,12.7,152.0,19,116,2223,525,0.0,0.0,0.0,2,1.492
,3,454.0,1310.5,13.3,57.9,17,114,2634,595,0.0,0.0,0.0,4,1.597
,4,454.0,1128.7,15.0,28.0,12,121,3842,730,0.0,0.0,0.0,15,1.634
,5,454.0,1126.6,14.4,28.8,16,116,3842,730,19.0,0.0,0.0,15,1.654
,6,454.0,931.8,13.6,125.0,13,116,4150,830,15.1,1.8,1.0,15,1.681
,7,454.0,703.0,14.5,17.0,13,118,4150,830,24.6,7.9,2.0,15,1.838
,8,454.0,1124.1,14.9,45.0,18,117,4200,840,119.0,15.7,2.0,16,1.862
,9,454.0,1462.3,13.2,62.0,27,117,4400,720,138.2,30.5,6.0,18,1.883
,10,454.0,986.3,14.3,67.0,24,122,4415,721,293.0,39.8,7.0,18,1.889
