Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_28,1,543.6,272.7,19.0,0.0,4,103,4400,440,0.0,0.0,0.0,1,0.0
,2,543.6,155.0,19.8,0.0,3,109,4400,440,0.0,0.0,1.0,4,0.921
,3,543.6,380.7,18.5,1.0,3,111,4500,455,0.0,0.0,1.0,4,0.954
,4,543.6,349.8,18.4,0.0,3,115,3900,475,0.0,21.5,3.0,5,0.989
,5,543.6,441.3,18.6,0.0,4,115,4100,500,0.0,27.6,4.0,5,1.059
,6,543.6,288.6,18.7,0.0,3,110,4300,300,0.0,55.3,4.0,5,1.062
,7,543.6,413.4,19.2,0.0,3,113,4720,240,0.0,56.7,4.0,6,1.07
,8,543.6,272.5,19.4,0.0,3,108,5440,330,0.0,64.8,5.0,7,1.079
,9,543.6,141.2,19.9,0.0,2,105,5600,300,0.0,73.9,5.0,7,1.083
,10,543.6,198.7,19.4,0.0,2,106,5800,450,0.0,83.5,6.0,7,1.088
