Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_68,1,796.0,1687.0,23.4,0.0,22,108,9900,244,0.0,0.0,0.0,3,0.7
,2,796.0,733.7,23.4,0.0,28,111,10200,280,0.0,0.0,1.0,3,0.701
,3,796.0,1450.2,23.6,0.0,18,115,10300,315,1.0,0.0,1.0,3,0.729
,4,796.0,1034.6,23.7,0.0,35,108,10501,267,1.4,4.5,2.0,6,0.761
,5,796.0,1213.1,23.7,0.0,27,112,10740,275,3.8,5.5,2.0,6,0.806
,6,796.0,1198.4,23.9,0.0,23,111,10890,283,6.22,6.3,3.0,6,0.808
,7,796.0,1488.6,23.3,0.0,28,110,11120,292,7.1,6.9,3.0,8,0.831
,8,796.0,968.6,23.8,0.0,23,107,11490,300,15.2,7.2,3.0,9,0.871
,9,796.0,1063.0,24.2,0.0,22,109,11645,377,22.3,7.7,4.0,9,0.932
,10,796.0,1312.8,23.5,0.0,23,109,11430,319,27.9,8.4,4.0,12,0.999
