Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_34,1,729.0,57.7,16.8,16.0,4,113,2325,2237,0.0,0.0,0.0,0,0.984
,2,729.0,113.5,16.4,0.0,5,117,2960,2435,0.0,0.0,0.0,0,1.051
,3,729.0,208.7,16.9,0.0,3,119,3342,2679,0.0,0.0,0.0,4,1.891
,4,729.0,202.8,16.2,0.0,4,117,6272,3073,0.0,0.8,0.0,5,1.123
,5,729.0,75.3,17.1,0.0,3,114,5572,2730,0.0,2.6,6.0,6,1.164
,6,729.0,190.4,17.5,0.0,3,117,5012,2455,6.8,34.5,8.0,7,1.238
,7,729.0,76.7,18.1,0.0,3,116,5012,2455,65.5,43.5,8.0,7,1.296
,8,729.0,179.4,17.6,0.0,2,112,4407,1676,101.4,59.5,8.0,7,1.351
,9,729.0,165.6,15.9,0.4,3,110,5132,2435,198.7,113.2,15.0,8,1.438
,10,729.0,89.8,17.2,0.0,4,108,5539,3432,254.7,217.9,29.0,8,1.733
