Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_2,1,327.7,336.6,21.3,0.0,4,106,5810,2030,0.0,0.0,0.0,0,0.712
,2,327.7,240.2,22.1,0.0,3,104,5900,2200,0.0,0.0,0.0,0,0.72
,3,327.7,155.3,22.4,0.0,3,104,6100,2500,0.0,0.0,0.0,0,0.752
,4,327.7,77.0,23.0,0.0,2,105,6140,2650,0.0,9.0,0.0,0,0.758
,5,327.7,146.3,22.5,0.0,2,108,6200,2800,2.9,11.0,0.0,6,0.762
,6,327.7,216.3,21.2,0.0,4,111,6500,2550,34.8,18.6,0.0,7,0.77
,7,327.7,77.1,22.4,0.0,4,106,19437,7674,50.6,24.9,0.0,7,0.781
,8,327.7,90.3,22.8,0.0,2,105,22755,8472,56.7,27.0,1.0,8,0.789
,9,327.7,238.5,22.8,0.0,2,103,26640,9353,60.9,30.2,1.0,8,0.794
,10,327.7,62.0,22.7,0.0,2,102,30525,10234,76.5,44.3,5.0,9,0.795
