Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_43,1,668.0,385.5,12.7,0.0,22,105,6720,296,0.2,28.2,10.0,8,1.319
,2,668.0,342.4,12.9,0.0,19,105,7080,312,2.2,29.7,12.0,8,1.321
,3,668.0,471.4,12.6,0.0,21,104,7560,305,4.5,32.3,14.0,8,1.35
,4,668.0,510.7,13.9,0.0,20,105,7920,317,11.5,34.4,17.0,9,1.363
,5,668.0,685.1,13.4,0.0,22,106,8280,331,16.7,39.9,19.0,9,1.389
,6,668.0,563.2,12.7,0.0,24,105,8640,346,26.5,49.5,23.0,9,1.409
,7,668.0,879.1,13.3,0.0,21,106,8880,355,33.4,62.9,31.0,9,1.432
,8,668.0,731.6,13.2,0.0,24,104,9000,480,52.6,79.2,42.0,10,1.457
,9,668.0,612.0,13.9,0.0,20,104,10680,555,105.4,99.8,48.0,10,1.464
,10,668.0,949.5,13.1,0.0,26,107,10680,555,158.6,120.6,52.0,10,1.561
