Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_44,1,617.0,816.9,13.3,3.0,9,111,2525,172,2.3,45.5,39.0,5,1.357
,2,617.0,701.4,13.6,4.0,8,116,2730,177,2.4,46.7,45.0,5,1.367
,3,617.0,885.4,14.0,0.0,8,113,3105,185,2.5,48.8,63.0,5,1.407
,4,617.0,1256.6,14.6,0.0,8,111,3955,198,2.7,60.5,63.0,5,1.446
,5,617.0,1318.4,13.4,0.0,7,117,4600,208,2.75,84.5,63.0,6,1.472
,6,617.0,875.2,13.4,0.0,8,108,5350,214,2.8,108.0,65.0,6,1.523
,7,617.0,1948.5,14.0,0.0,7,118,5350,214,3.2,122.6,65.0,6,1.531
,8,617.0,1699.2,14.4,0.0,7,110,4700,188,4.6,140.3,77.0,6,1.547
,9,617.0,903.5,14.0,0.0,7,110,4800,192,6.5,170.3,91.0,7,1.563
,10,617.0,1830.4,13.0,1.3,8,114,5500,220,7.6,220.4,100.0,7,1.576
